# Caducidad por categoria de Mercadona, contada desde el dia de compra y con el envase cerrado.
# Aproximada: sirve para avisar, no es la fecha del envase.
#
# categoria  -> nombre de la categoria de 2º nivel, o "categoria/subcategoria" para afinar una sola.
#               La subcategoria gana a la categoria.
# dias       -> -1 = no caduca (no alimento, o dura tanto que no merece aviso).
# ubicacion  -> Nevera | Despensa | Congelador | Hogar
#
# Solo se aplica al CREAR el producto en Grocy. Cambiar un valor aqui no toca los productos que ya
# existen: esos se corrigen en Grocy (ficha del producto > "Días de consumo preferente por defecto").
#
# categoria	dias	ubicacion
Insecticida y ambientador	-1	Hogar
Isotónico y energético	180	Despensa
Jamón serrano	30	Nevera
Labios	-1	Hogar
Leche y bebidas vegetales	90	Despensa
Leche y bebidas vegetales/Batidos	60	Despensa
Lechuga y ensalada preparada	5	Nevera
Legumbres	-1	Despensa
Lejía y líquidos fuertes	-1	Hogar
Licores	-1	Despensa
Limpiacristales	-1	Hogar
Limpiahogar y friegasuelos	-1	Hogar
Limpieza baño y WC	-1	Hogar
Limpieza cocina	-1	Hogar
Limpieza muebles y multiusos	-1	Hogar
Limpieza vajilla	-1	Hogar
Listo para Comer	2	Nevera
Manicura y pedicura	-1	Hogar
Mantequilla y margarina	60	Nevera
Mantequilla y margarina/Nata	30	Nevera
Marisco	3	Nevera
Mayonesa, ketchup y mostaza	180	Despensa
Melocotón y piña	-1	Despensa
Menaje y conservación de alimentos	-1	Hogar
Mermelada y miel	365	Despensa
Naranja	14	Despensa
Ojos	-1	Hogar
Otras salsas	180	Despensa
Otros	-1	Hogar
Pan de horno	2	Despensa
Pan de molde y otras especialidades	10	Despensa
Pan tostado y rallado	180	Despensa
Papel higiénico y celulosa	-1	Hogar
Parafarmacia	-1	Hogar
Pasta y fideos	-1	Despensa
Pasta y fideos/Pasta rellena	21	Nevera
Patatas fritas y snacks	90	Despensa
Paté y sobrasada	60	Despensa
Perfume y colonia	-1	Hogar
Perro	-1	Hogar
Pescado fresco	2	Nevera
Pescado	180	Congelador
Picos, rosquilletas y picatostes	90	Despensa
Pilas y bolsas de basura	-1	Hogar
Pinceles y brochas	-1	Hogar
Pizzas	180	Congelador
Pizzas/Pizzas refrigeradas	10	Nevera
Pizzas/Roscas, quiche y baguettes	10	Nevera
Platos preparados calientes	7	Nevera
Platos preparados calientes/Platos de cuchara	365	Despensa
Platos preparados fríos	5	Nevera
Postres de soja	20	Nevera
Protector solar y aftersun	-1	Hogar
Queso curado, semicurado y tierno	60	Nevera
Queso lonchas, rallado y en porciones	30	Nevera
Queso untable, fresco y especialidades	20	Nevera
Rebozados	180	Congelador
Refresco de cola	180	Despensa
Refresco de naranja y de limón	180	Despensa
Refresco de té y sin gas	180	Despensa
Salazones y ahumados	21	Nevera
Sidra y cava	365	Despensa
Sopa y caldo	365	Despensa
Tartas y churros	180	Congelador
Tartas y pasteles	3	Nevera
Té e infusiones	365	Despensa
Tinto de verano y sangría	365	Despensa
Toallitas y pañales	-1	Hogar
Tomate y otros sabores	365	Despensa
Tomate	365	Despensa
Tónica y bitter	180	Despensa
Tortitas	90	Despensa
Utensilios de limpieza y calzado	-1	Hogar
Vacuno	3	Nevera
Velas y decoración	-1	Hogar
Verdura	7	Nevera
Verdura/Cebolla y ajo	30	Despensa
Verdura/Patata	21	Despensa
Verdura/Hierbas aromáticas	5	Nevera
Verdura/Setas y champiñones	4	Nevera
Verdura/Verduras al vapor	10	Nevera
Vino blanco	-1	Despensa
Vino lambrusco y espumoso	-1	Despensa
Vino rosado	-1	Despensa
Vino tinto	-1	Despensa
Yogures desnatados	21	Nevera
Yogures griegos	21	Nevera
Yogures líquidos	21	Nevera
Yogures naturales y sabores	21	Nevera
Yogures y postres infantiles	21	Nevera
